Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
Air_Conditioner_Air_Building1,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building10,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building11,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building12,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building13,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building14,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building2,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building3,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building4,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building5,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building6,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building7,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building8,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building9,0.0,0.0,0.0,0.0,20.0
Battery_Building1,0.0,0.0,0.0,0.0,10.0
Battery_Building10,0.0,0.0,0.0,0.0,10.0
Battery_Building11,0.0,0.0,0.0,0.0,10.0
Battery_Building12,0.0,0.0,0.0,0.0,10.0
Battery_Building13,0.0,0.0,0.0,0.0,10.0
Battery_Building14,0.0,0.0,0.0,0.0,10.0
Battery_Building2,0.0,0.0,0.0,0.0,10.0
Battery_Building3,0.0,0.0,0.0,0.0,10.0
Battery_Building4,0.0,0.0,0.0,0.0,10.0
Battery_Building5,0.0,0.0,0.0,0.0,10.0
Battery_Building6,0.0,0.0,0.0,0.0,10.0
Battery_Building7,0.0,0.0,0.0,0.0,10.0
Battery_Building8,0.0,0.0,0.0,0.0,10.0
Battery_Building9,0.0,0.0,0.0,0.0,10.0
Battery_district,1.0,60.0,0.0,0.0,10.0
ElectricalHeater_DHW_Building1,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building10,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building11,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building12,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building13,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building14,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building2,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building3,1.0,10.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building4,1.0,10.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building5,1.0,10.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building6,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building7,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building8,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building9,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building1,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building10,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building11,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building12,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building13,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building14,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building2,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building3,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building4,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building5,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building6,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building7,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building8,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building9,0.0,0.0,0.0,0.0,20.0
HeatPump_Air_Building1,0.0,0.0,1283.2286191810506,5.85948844497,20.0
HeatPump_Air_Building10,0.0,0.0,1344.8187687812815,11.46547197447,20.0
HeatPump_Air_Building11,0.0,0.0,3340.445207541396,193.10894937047,20.0
HeatPump_Air_Building12,0.0,0.0,1944.8962318859033,66.08499143374,20.0
HeatPump_Air_Building13,0.0,0.0,1576.2209050316253,32.52787518231,20.0
HeatPump_Air_Building14,0.0,0.0,1822.5184413577151,54.946069341,20.0
HeatPump_Air_Building2,0.0,0.0,1322.1907937410983,9.40585600983,20.0
HeatPump_Air_Building3,1.0,20.0,1369.8126491218873,13.74043448775,20.0
HeatPump_Air_Building4,0.0,0.0,1363.327372270441,13.15013952258,20.0
HeatPump_Air_Building5,1.0,20.0,1270.158666138674,4.66985110909,20.0
HeatPump_Air_Building6,0.0,0.0,1458.0268522017218,21.7697601631,20.0
HeatPump_Air_Building7,0.0,0.0,1404.4639411772607,16.89442215947,20.0
HeatPump_Air_Building8,0.0,0.0,1684.6574921710112,42.39785805204,20.0
HeatPump_Air_Building9,0.0,0.0,1781.083999030845,51.17467403272,20.0
NG_Boiler_Building1,1.0,10.0,259.1638243995431,12.7216,20.0
NG_Boiler_Building10,0.0,0.0,259.398890613879,12.76077845614,20.0
NG_Boiler_Building11,0.0,0.0,270.86522032567956,14.67187017544,20.0
NG_Boiler_Building12,0.0,0.0,316.3799398921627,22.25780271497,20.0
NG_Boiler_Building13,0.0,0.0,286.0430657293306,17.20155974453,20.0
NG_Boiler_Building14,0.0,0.0,385.9902003723992,33.85973600362,20.0
