Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
Air_Conditioner_Air_Building1,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building2,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building3,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building4,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building5,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building6,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building7,0.0,0.0,0.0,0.0,20.0
Battery_Building1,0.0,0.0,0.0,0.0,10.0
Battery_Building2,0.0,0.0,0.0,0.0,10.0
Battery_Building3,0.0,0.0,0.0,0.0,10.0
Battery_Building4,0.0,0.0,0.0,0.0,10.0
Battery_Building5,0.0,0.0,0.0,0.0,10.0
Battery_Building6,0.0,0.0,0.0,0.0,10.0
Battery_Building7,0.0,0.0,0.0,0.0,10.0
Battery_district,1.0,50.0,0.0,0.0,10.0
ElectricalHeater_DHW_Building1,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building2,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building3,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building4,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building5,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building6,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_DHW_Building7,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building1,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building2,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building3,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building4,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building5,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building6,0.0,0.0,0.0,0.0,20.0
ElectricalHeater_SH_Building7,0.0,0.0,0.0,0.0,20.0
HeatPump_Air_Building1,1.0,1.50233902232,1332.7822661420182,10.36990010159,20.0
HeatPump_Air_Building2,1.0,1.50233902232,1332.7822661420182,10.36990010159,20.0
HeatPump_Air_Building3,1.0,1.67460895406,1345.8462410763175,11.55899330541,20.0
HeatPump_Air_Building4,1.0,1.2877191231,1316.5067097776464,8.8884862472,20.0
HeatPump_Air_Building5,1.0,1.2877191231,1316.5067097776464,8.8884862472,20.0
HeatPump_Air_Building6,0.0,0.0,1304.4810817637037,7.79390419121,20.0
HeatPump_Air_Building7,1.0,1.7,1344.988933415309,11.48096049239,20.0
OIL_Boiler_Building1,0.0,0.0,277.7254049057277,12.75390807018,20.0
OIL_Boiler_Building2,0.0,0.0,277.7254049057277,12.75390807018,20.0
OIL_Boiler_Building3,0.0,0.0,277.9015952888039,12.76424042105,20.0
OIL_Boiler_Building4,0.0,0.0,277.5051669268822,12.74099263158,20.0
OIL_Boiler_Building5,0.0,0.0,277.5051669268822,12.74099263158,20.0
OIL_Boiler_Building6,1.0,10.0,279.20170795122954,12.84048306253,20.0
OIL_Boiler_Building7,0.0,0.0,277.8905833898618,12.76359464912,20.0
PV_Building1,1.0,7.8,2102.3233422749827,336.887364,25.0
PV_Building2,1.0,7.8,2102.3233422749827,336.887364,25.0
PV_Building3,1.0,8.0,0.0,0.0,25.0
PV_Building4,1.0,7.8,2054.621102137256,327.441924,25.0
PV_Building5,1.0,7.8,2054.621102137256,327.441924,25.0
PV_Building6,0.0,0.0,1959.216621861803,308.551044,25.0
PV_Building7,1.0,8.2,2054.621102137256,327.441924,25.0
ThermalSolar_Building1,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building2,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building3,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building4,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building5,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building6,0.0,0.0,0.0,0.0,20.0
ThermalSolar_Building7,0.0,0.0,0.0,0.0,20.0
WaterTankDHW_Building1,1.0,0.05398097391,64.10428973231073,3.24965962956,20.0
WaterTankDHW_Building2,1.0,0.05398097391,64.10428973231073,3.24965962956,20.0
WaterTankDHW_Building3,1.0,0.05997981903,67.86397021478129,3.61079010588,20.0
WaterTankDHW_Building4,1.0,0.0462693476,59.27115096005607,2.78541972538,20.0
WaterTankDHW_Building5,1.0,0.0462693476,59.27115096005607,2.78541972538,20.0
WaterTankDHW_Building6,1.0,0.02817758874,47.932429705614986,1.69629584196,20.0
WaterTankDHW_Building7,1.0,0.05976469365,67.7291438113817,3.59783955769,20.0
WaterTankSH_Building1,1.0,1,0.0,0.0,20.0
WaterTankSH_Building2,1.0,1,0.0,0.0,20.0
WaterTankSH_Building3,1.0,1,0.0,0.0,20.0
WaterTankSH_Building4,1.0,1,0.0,0.0,20.0
WaterTankSH_Building5,1.0,1,0.0,0.0,20.0
WaterTankSH_Building6,1.0,1,99.92991145779278,6.43051484819,20.0
WaterTankSH_Building7,1.0,1,0.0,0.0,20.0
