Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
Air_Conditioner_Air_Building1,0,0,0,0,20
Air_Conditioner_Air_Building10,0,0,0,0,20
Air_Conditioner_Air_Building11,0,0,0,0,20
Air_Conditioner_Air_Building12,0,0,0,0,20
Air_Conditioner_Air_Building13,0,0,0,0,20
Air_Conditioner_Air_Building14,0,0,0,0,20
Air_Conditioner_Air_Building15,0,0,0,0,20
Air_Conditioner_Air_Building16,0,0,0,0,20
Air_Conditioner_Air_Building17,0,0,0,0,20
Air_Conditioner_Air_Building18,0,0,0,0,20
Air_Conditioner_Air_Building19,0,0,0,0,20
Air_Conditioner_Air_Building2,0,0,0,0,20
Air_Conditioner_Air_Building3,0,0,0,0,20
Air_Conditioner_Air_Building4,0,0,0,0,20
Air_Conditioner_Air_Building5,0,0,0,0,20
Air_Conditioner_Air_Building6,0,0,0,0,20
Air_Conditioner_Air_Building7,0,0,0,0,20
Air_Conditioner_Air_Building8,0,0,0,0,20
Air_Conditioner_Air_Building9,0,0,0,0,20
Battery_Building1,0,0,0,0,10
Battery_Building10,0,0,0,0,10
Battery_Building11,0,0,0,0,10
Battery_Building12,0,0,0,0,10
Battery_Building13,0,0,0,0,10
Battery_Building14,0,0,0,0,10
Battery_Building15,0,0,0,0,10
Battery_Building16,0,0,0,0,10
Battery_Building17,0,0,0,0,10
Battery_Building18,0,0,0,0,10
Battery_Building19,0,0,0,0,10
Battery_Building2,0,0,0,0,10
Battery_Building3,0,0,0,0,10
Battery_Building4,0,0,0,0,10
Battery_Building5,0,0,0,0,10
Battery_Building6,0,0,0,0,10
Battery_Building7,0,0,0,0,10
Battery_Building8,0,0,0,0,10
Battery_Building9,0,0,0,0,10
Battery_district,1,60,58.34350909,0.659572,10
EV_district,1.0,0.1,6.727238993781944e-06,1.1e-05,10.0
ElectricalHeater_DHW_Building1,1,0.154008282,75.98838008,0.10515717,20
ElectricalHeater_DHW_Building10,1,0.284312618,78.80940097,0.107828409,20
ElectricalHeater_DHW_Building11,1,0.284312618,78.80940097,0.107828409,20
