Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
Air_Conditioner_Air_Building10,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building11,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building12,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building13,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building14,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building15,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building16,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building17,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building18,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building19,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building2,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building20,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building21,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building22,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building23,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building24,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building25,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building26,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building27,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building28,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building29,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building3,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building30,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building31,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building32,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building33,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building34,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building35,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building36,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building37,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building38,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building39,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building4,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building40,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building41,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building42,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building43,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building44,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building45,0.0,0.0,0.0,0.0,20.0
Air_Conditioner_Air_Building46,0.0,0.0,0.0,0.0,20.0
